event_id,neighborhood,date,lat,lon,event_count,event_type,source_granularity,source_file,temperature_min_c,temperature_mean_c,temperature_max_c,precipitation_mm
REAL-EMS-20240101,Citywide,2024-01-01,,,66,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,8.9,12.25,15.6,0.0
REAL-DEATH-20240101,Citywide,2024-01-01,,,71,overdose_death,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,8.9,12.25,15.6,0.0
REAL-EMS-20240107,Citywide,2024-01-07,,,80,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,3.9,8.6,13.3,0.0
REAL-EMS-20240114,Citywide,2024-01-14,,,65,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,10.0,12.5,15.0,1.0
REAL-EMS-20240121,Citywide,2024-01-21,,,63,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,11.7,14.2,16.7,10.2
REAL-EMS-20240128,Citywide,2024-01-28,,,80,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,11.7,15.3,18.9,0.0
REAL-DEATH-20240201,Citywide,2024-02-01,,,63,overdose_death,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,10.6,12.8,15.0,10.4
REAL-EMS-20240204,Citywide,2024-02-04,,,68,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,9.4,13.05,16.7,29.7
REAL-EMS-20240211,Citywide,2024-02-11,,,70,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,6.7,10.85,15.0,0.0
REAL-EMS-20240218,Citywide,2024-02-18,,,64,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,8.3,13.6,18.9,8.1
REAL-EMS-20240225,Citywide,2024-02-25,,,74,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,9.4,13.85,18.3,0.0
REAL-DEATH-20240301,Citywide,2024-03-01,,,70,overdose_death,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,9.4,11.9,14.4,24.9
REAL-EMS-20240303,Citywide,2024-03-03,,,80,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,7.8,10.0,12.2,4.6
REAL-EMS-20240310,Citywide,2024-03-10,,,67,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,8.3,12.5,16.7,1.5
REAL-EMS-20240317,Citywide,2024-03-17,,,84,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,10.0,14.15,18.3,0.0
REAL-EMS-20240324,Citywide,2024-03-24,,,91,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,10.0,12.8,15.6,3.3
REAL-EMS-20240331,Citywide,2024-03-31,,,94,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,10.0,14.15,18.3,0.0
REAL-DEATH-20240401,Citywide,2024-04-01,,,59,overdose_death,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,8.9,15.3,21.7,0.0
REAL-EMS-20240407,Citywide,2024-04-07,,,63,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,8.3,11.95,15.6,0.0
REAL-EMS-20240414,Citywide,2024-04-14,,,59,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,9.4,12.75,16.1,1.3
REAL-EMS-20240421,Citywide,2024-04-21,,,91,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,11.7,16.95,22.2,0.0
REAL-EMS-20240428,Citywide,2024-04-28,,,67,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,11.1,14.45,17.8,0.0
REAL-DEATH-20240501,Citywide,2024-05-01,,,66,overdose_death,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,9.4,15.8,22.2,0.0
REAL-EMS-20240505,Citywide,2024-05-05,,,81,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,8.9,12.25,15.6,0.0
REAL-EMS-20240512,Citywide,2024-05-12,,,87,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,11.1,14.45,17.8,0.0
REAL-EMS-20240519,Citywide,2024-05-19,,,70,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,11.1,15.85,20.6,0.0
REAL-EMS-20240526,Citywide,2024-05-26,,,70,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,10.6,15.85,21.1,0.0
REAL-DEATH-20240601,Citywide,2024-06-01,,,49,overdose_death,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,12.2,15.25,18.3,0.0
REAL-EMS-20240602,Citywide,2024-06-02,,,70,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,12.2,16.4,20.6,0.0
REAL-EMS-20240609,Citywide,2024-06-09,,,48,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,12.2,15.25,18.3,0.0
REAL-EMS-20240616,Citywide,2024-06-16,,,61,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,10.6,15.3,20.0,0.0
REAL-EMS-20240623,Citywide,2024-06-23,,,54,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,12.2,15.8,19.4,0.0
REAL-EMS-20240630,Citywide,2024-06-30,,,42,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,12.2,16.65,21.1,0.0
REAL-DEATH-20240701,Citywide,2024-07-01,,,41,overdose_death,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,12.2,17.75,23.3,0.0
REAL-EMS-20240707,Citywide,2024-07-07,,,53,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,13.3,17.75,22.2,0.0
REAL-EMS-20240714,Citywide,2024-07-14,,,66,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,13.3,16.950000000000003,20.6,0.0
REAL-EMS-20240721,Citywide,2024-07-21,,,62,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,12.8,15.3,17.8,0.0
REAL-EMS-20240728,Citywide,2024-07-28,,,44,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,12.8,16.950000000000003,21.1,0.0
REAL-DEATH-20240801,Citywide,2024-08-01,,,47,overdose_death,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,12.2,16.1,20.0,0.0
REAL-EMS-20240804,Citywide,2024-08-04,,,61,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,12.2,15.0,17.8,0.0
REAL-EMS-20240811,Citywide,2024-08-11,,,46,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,11.7,14.75,17.8,0.0
REAL-EMS-20240818,Citywide,2024-08-18,,,55,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,13.3,16.950000000000003,20.6,0.0
REAL-EMS-20240825,Citywide,2024-08-25,,,56,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,13.3,19.450000000000003,25.6,0.0
REAL-EMS-20240901,Citywide,2024-09-01,,,61,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,13.9,18.05,22.2,0.0
