tract_id,week_offset,treated,n_events,post,site_id
06075000001,-12,1,0,0,HR001
06075000001,-11,1,0,0,HR001
06075000001,-10,1,0,0,HR001
06075000001,-9,1,0,0,HR001
06075000001,-8,1,0,0,HR001
06075000001,-7,1,3,0,HR001
06075000001,-6,1,0,0,HR001
06075000001,-5,1,0,0,HR001
06075000001,-4,1,0,0,HR001
06075000001,-3,1,0,0,HR001
06075000001,-2,1,0,0,HR001
06075000001,-1,1,4,0,HR001
06075000001,0,1,3,1,HR001
06075000001,1,1,2,1,HR001
06075000001,2,1,0,1,HR001
06075000001,3,1,2,1,HR001
06075000001,4,1,1,1,HR001
06075000001,5,1,1,1,HR001
06075000001,6,1,0,1,HR001
06075000001,7,1,3,1,HR001
06075000001,8,1,4,1,HR001
06075000001,9,1,1,1,HR001
06075000001,10,1,1,1,HR001
06075000001,11,1,0,1,HR001
06075000001,12,1,1,1,HR001
06075000001,13,1,0,1,HR001
06075000001,14,1,0,1,HR001
06075000001,15,1,1,1,HR001
06075000001,16,1,1,1,HR001
06075000001,17,1,0,1,HR001
06075000001,18,1,1,1,HR001
06075000001,19,1,0,1,HR001
06075000001,20,1,1,1,HR001
06075000001,21,1,0,1,HR001
06075000001,22,1,2,1,HR001
06075000001,23,1,0,1,HR001
06075000001,24,1,1,1,HR001
06075000001,25,1,1,1,HR001
06075000001,26,1,0,1,HR001
06075000002,-12,1,0,0,HR001
06075000002,-11,1,0,0,HR001
06075000002,-10,1,0,0,HR001
06075000002,-9,1,2,0,HR001
06075000002,-8,1,0,0,HR001
06075000002,-7,1,5,0,HR001
06075000002,-6,1,0,0,HR001
06075000002,-5,1,3,0,HR001
06075000002,-4,1,2,0,HR001
06075000002,-3,1,1,0,HR001
06075000002,-2,1,2,0,HR001
06075000002,-1,1,1,0,HR001
06075000002,0,1,2,1,HR001
06075000002,1,1,0,1,HR001
06075000002,2,1,1,1,HR001
06075000002,3,1,2,1,HR001
06075000002,4,1,1,1,HR001
06075000002,5,1,0,1,HR001
06075000002,6,1,2,1,HR001
06075000002,7,1,1,1,HR001
06075000002,8,1,0,1,HR001
06075000002,9,1,3,1,HR001
06075000002,10,1,0,1,HR001
06075000002,11,1,0,1,HR001
06075000002,12,1,2,1,HR001
06075000002,13,1,1,1,HR001
06075000002,14,1,4,1,HR001
06075000002,15,1,3,1,HR001
06075000002,16,1,2,1,HR001
06075000002,17,1,1,1,HR001
06075000002,18,1,1,1,HR001
06075000002,19,1,0,1,HR001
06075000002,20,1,1,1,HR001
06075000002,21,1,2,1,HR001
06075000002,22,1,1,1,HR001
06075000002,23,1,0,1,HR001
06075000002,24,1,1,1,HR001
06075000002,25,1,0,1,HR001
06075000002,26,1,0,1,HR001
06075000003,-12,1,0,0,HR001
06075000003,-11,1,0,0,HR001
06075000003,-10,1,0,0,HR001
06075000003,-9,1,2,0,HR001
06075000003,-8,1,0,0,HR001
06075000003,-7,1,0,0,HR001
06075000003,-6,1,0,0,HR001
06075000003,-5,1,1,0,HR001
06075000003,-4,1,2,0,HR001
06075000003,-3,1,2,0,HR001
06075000003,-2,1,3,0,HR001
06075000003,-1,1,1,0,HR001
06075000003,0,1,1,1,HR001
06075000003,1,1,2,1,HR001
06075000003,2,1,1,1,HR001
06075000003,3,1,1,1,HR001
06075000003,4,1,2,1,HR001
06075000003,5,1,2,1,HR001
06075000003,6,1,1,1,HR001
06075000003,7,1,0,1,HR001
06075000003,8,1,0,1,HR001
06075000003,9,1,4,1,HR001
06075000003,10,1,0,1,HR001
06075000003,11,1,1,1,HR001
06075000003,12,1,0,1,HR001
06075000003,13,1,0,1,HR001
06075000003,14,1,1,1,HR001
06075000003,15,1,1,1,HR001
06075000003,16,1,0,1,HR001
06075000003,17,1,0,1,HR001
06075000003,18,1,0,1,HR001
06075000003,19,1,2,1,HR001
06075000003,20,1,0,1,HR001
06075000003,21,1,1,1,HR001
06075000003,22,1,0,1,HR001
06075000003,23,1,0,1,HR001
06075000003,24,1,2,1,HR001
06075000003,25,1,1,1,HR001
06075000003,26,1,1,1,HR001
06075000004,-12,1,0,0,HR001
06075000004,-11,1,0,0,HR001
06075000004,-10,1,0,0,HR001
06075000004,-9,1,0,0,HR001
06075000004,-8,1,1,0,HR001
06075000004,-7,1,4,0,HR001
06075000004,-6,1,0,0,HR001
06075000004,-5,1,4,0,HR001
06075000004,-4,1,2,0,HR001
06075000004,-3,1,4,0,HR001
06075000004,-2,1,0,0,HR001
06075000004,-1,1,2,0,HR001
06075000004,0,1,3,1,HR001
06075000004,1,1,3,1,HR001
06075000004,2,1,0,1,HR001
06075000004,3,1,1,1,HR001
06075000004,4,1,0,1,HR001
06075000004,5,1,0,1,HR001
06075000004,6,1,2,1,HR001
06075000004,7,1,2,1,HR001
06075000004,8,1,0,1,HR001
06075000004,9,1,3,1,HR001
06075000004,10,1,2,1,HR001
06075000004,11,1,1,1,HR001
06075000004,12,1,1,1,HR001
06075000004,13,1,0,1,HR001
06075000004,14,1,0,1,HR001
06075000004,15,1,2,1,HR001
06075000004,16,1,1,1,HR001
06075000004,17,1,2,1,HR001
06075000004,18,1,2,1,HR001
06075000004,19,1,2,1,HR001
06075000004,20,1,0,1,HR001
06075000004,21,1,0,1,HR001
06075000004,22,1,1,1,HR001
06075000004,23,1,1,1,HR001
06075000004,24,1,2,1,HR001
06075000004,25,1,2,1,HR001
06075000004,26,1,0,1,HR001
06075000007,-12,1,0,0,HR001
06075000007,-11,1,0,0,HR001
06075000007,-10,1,0,0,HR001
06075000007,-9,1,0,0,HR001
06075000007,-8,1,1,0,HR001
06075000007,-7,1,0,0,HR001
06075000007,-6,1,1,0,HR001
06075000007,-5,1,1,0,HR001
06075000007,-4,1,2,0,HR001
06075000007,-3,1,1,0,HR001
06075000007,-2,1,2,0,HR001
06075000007,-1,1,1,0,HR001
06075000007,0,1,2,1,HR001
06075000007,1,1,0,1,HR001
06075000007,2,1,0,1,HR001
06075000007,3,1,4,1,HR001
06075000007,4,1,1,1,HR001
06075000007,5,1,1,1,HR001
06075000007,6,1,0,1,HR001
06075000007,7,1,3,1,HR001
06075000007,8,1,1,1,HR001
06075000007,9,1,2,1,HR001
06075000007,10,1,1,1,HR001
06075000007,11,1,0,1,HR001
06075000007,12,1,3,1,HR001
06075000007,13,1,1,1,HR001
06075000007,14,1,1,1,HR001
06075000007,15,1,2,1,HR001
06075000007,16,1,0,1,HR001
06075000007,17,1,0,1,HR001
06075000007,18,1,1,1,HR001
06075000007,19,1,0,1,HR001
06075000007,20,1,0,1,HR001
06075000007,21,1,0,1,HR001
06075000007,22,1,1,1,HR001
06075000007,23,1,0,1,HR001
06075000007,24,1,0,1,HR001
06075000007,25,1,0,1,HR001
06075000007,26,1,0,1,HR001
06075000008,-12,1,0,0,HR001
06075000008,-11,1,0,0,HR001
06075000008,-10,1,0,0,HR001
06075000008,-9,1,1,0,HR001
06075000008,-8,1,2,0,HR001
06075000008,-7,1,1,0,HR001
06075000008,-6,1,0,0,HR001
06075000008,-5,1,2,0,HR001
06075000008,-4,1,0,0,HR001
06075000008,-3,1,2,0,HR001
06075000008,-2,1,3,0,HR001
06075000008,-1,1,1,0,HR001
06075000008,0,1,1,1,HR001
06075000008,1,1,2,1,HR001
06075000008,2,1,1,1,HR001
06075000008,3,1,1,1,HR001
06075000008,4,1,0,1,HR001
06075000008,5,1,1,1,HR001
06075000008,6,1,1,1,HR001
06075000008,7,1,0,1,HR001
06075000008,8,1,2,1,HR001
06075000008,9,1,1,1,HR001
06075000008,10,1,1,1,HR001
06075000008,11,1,0,1,HR001
06075000008,12,1,1,1,HR001
06075000008,13,1,1,1,HR001
06075000008,14,1,2,1,HR001
06075000008,15,1,2,1,HR001
06075000008,16,1,3,1,HR001
06075000008,17,1,3,1,HR001
06075000008,18,1,1,1,HR001
06075000008,19,1,4,1,HR001
06075000008,20,1,0,1,HR001
06075000008,21,1,1,1,HR001
06075000008,22,1,1,1,HR001
06075000008,23,1,2,1,HR001
06075000008,24,1,0,1,HR001
06075000008,25,1,0,1,HR001
06075000008,26,1,1,1,HR001
06075000009,-12,1,0,0,HR001
06075000009,-11,1,0,0,HR001
06075000009,-10,1,0,0,HR001
06075000009,-9,1,0,0,HR001
06075000009,-8,1,2,0,HR001
06075000009,-7,1,3,0,HR001
06075000009,-6,1,1,0,HR001
06075000009,-5,1,1,0,HR001
06075000009,-4,1,1,0,HR001
06075000009,-3,1,1,0,HR001
06075000009,-2,1,1,0,HR001
06075000009,-1,1,3,0,HR001
06075000009,0,1,3,1,HR001
06075000009,1,1,0,1,HR001
06075000009,2,1,1,1,HR001
06075000009,3,1,1,1,HR001
06075000009,4,1,1,1,HR001
06075000009,5,1,1,1,HR001
06075000009,6,1,1,1,HR001
06075000009,7,1,1,1,HR001
06075000009,8,1,1,1,HR001
06075000009,9,1,1,1,HR001
06075000009,10,1,2,1,HR001
06075000009,11,1,1,1,HR001
06075000009,12,1,2,1,HR001
06075000009,13,1,1,1,HR001
06075000009,14,1,0,1,HR001
06075000009,15,1,1,1,HR001
06075000009,16,1,1,1,HR001
06075000009,17,1,2,1,HR001
06075000009,18,1,1,1,HR001
06075000009,19,1,1,1,HR001
06075000009,20,1,1,1,HR001
06075000009,21,1,1,1,HR001
06075000009,22,1,2,1,HR001
06075000009,23,1,2,1,HR001
06075000009,24,1,3,1,HR001
06075000009,25,1,0,1,HR001
06075000009,26,1,1,1,HR001
06075000011,-12,1,0,0,HR001
06075000011,-11,1,0,0,HR001
06075000011,-10,1,0,0,HR001
06075000011,-9,1,0,0,HR001
06075000011,-8,1,2,0,HR001
06075000011,-7,1,3,0,HR001
06075000011,-6,1,2,0,HR001
06075000011,-5,1,2,0,HR001
06075000011,-4,1,1,0,HR001
06075000011,-3,1,3,0,HR001
06075000011,-2,1,1,0,HR001
06075000011,-1,1,2,0,HR001
06075000011,0,1,0,1,HR001
06075000011,1,1,2,1,HR001
06075000011,2,1,0,1,HR001
06075000011,3,1,2,1,HR001
06075000011,4,1,1,1,HR001
06075000011,5,1,1,1,HR001
06075000011,6,1,2,1,HR001
06075000011,7,1,1,1,HR001
06075000011,8,1,4,1,HR001
06075000011,9,1,1,1,HR001
06075000011,10,1,2,1,HR001
06075000011,11,1,2,1,HR001
06075000011,12,1,2,1,HR001
06075000011,13,1,0,1,HR001
06075000011,14,1,0,1,HR001
06075000011,15,1,3,1,HR001
06075000011,16,1,1,1,HR001
06075000011,17,1,2,1,HR001
06075000011,18,1,3,1,HR001
06075000011,19,1,2,1,HR001
06075000011,20,1,0,1,HR001
06075000011,21,1,1,1,HR001
06075000011,22,1,1,1,HR001
06075000011,23,1,0,1,HR001
06075000011,24,1,1,1,HR001
06075000011,25,1,0,1,HR001
06075000011,26,1,0,1,HR001
06075000016,-12,1,0,0,HR001
06075000016,-11,1,0,0,HR001
06075000016,-10,1,0,0,HR001
06075000016,-9,1,0,0,HR001
06075000016,-8,1,1,0,HR001
06075000016,-7,1,0,0,HR001
06075000016,-6,1,0,0,HR001
06075000016,-5,1,3,0,HR001
06075000016,-4,1,6,0,HR001
06075000016,-3,1,0,0,HR001
06075000016,-2,1,3,0,HR001
06075000016,-1,1,0,0,HR001
06075000016,0,1,3,1,HR001
06075000016,1,1,3,1,HR001
06075000016,2,1,4,1,HR001
06075000016,3,1,2,1,HR001
06075000016,4,1,2,1,HR001
06075000016,5,1,3,1,HR001
06075000016,6,1,1,1,HR001
06075000016,7,1,1,1,HR001
06075000016,8,1,3,1,HR001
06075000016,9,1,3,1,HR001
06075000016,10,1,2,1,HR001
06075000016,11,1,3,1,HR001
06075000016,12,1,2,1,HR001
06075000016,13,1,1,1,HR001
06075000016,14,1,2,1,HR001
06075000016,15,1,2,1,HR001
06075000016,16,1,1,1,HR001
06075000016,17,1,1,1,HR001
06075000016,18,1,2,1,HR001
06075000016,19,1,2,1,HR001
06075000016,20,1,1,1,HR001
06075000016,21,1,0,1,HR001
06075000016,22,1,3,1,HR001
06075000016,23,1,1,1,HR001
06075000016,24,1,0,1,HR001
06075000016,25,1,0,1,HR001
06075000016,26,1,1,1,HR001
06075000046,-12,1,0,0,HR001
06075000046,-11,1,0,0,HR001
06075000046,-10,1,0,0,HR001
06075000046,-9,1,1,0,HR001
06075000046,-8,1,0,0,HR001
06075000046,-7,1,0,0,HR001
06075000046,-6,1,2,0,HR001
06075000046,-5,1,0,0,HR001
06075000046,-4,1,1,0,HR001
06075000046,-3,1,1,0,HR001
06075000046,-2,1,3,0,HR001
06075000046,-1,1,1,0,HR001
06075000046,0,1,1,1,HR001
06075000046,1,1,1,1,HR001
06075000046,2,1,0,1,HR001
06075000046,3,1,1,1,HR001
06075000046,4,1,0,1,HR001
06075000046,5,1,0,1,HR001
06075000046,6,1,0,1,HR001
06075000046,7,1,1,1,HR001
06075000046,8,1,0,1,HR001
06075000046,9,1,5,1,HR001
06075000046,10,1,3,1,HR001
06075000046,11,1,0,1,HR001
06075000046,12,1,0,1,HR001
06075000046,13,1,1,1,HR001
06075000046,14,1,0,1,HR001
06075000046,15,1,4,1,HR001
06075000046,16,1,1,1,HR001
06075000046,17,1,0,1,HR001
06075000046,18,1,1,1,HR001
06075000046,19,1,1,1,HR001
06075000046,20,1,0,1,HR001
06075000046,21,1,0,1,HR001
06075000046,22,1,4,1,HR001
06075000046,23,1,0,1,HR001
06075000046,24,1,1,1,HR001
06075000046,25,1,0,1,HR001
06075000046,26,1,0,1,HR001
06075000048,-12,0,0,0,HR001
06075000048,-11,0,0,0,HR001
06075000048,-10,0,0,0,HR001
06075000048,-9,0,0,0,HR001
06075000048,-8,0,0,0,HR001
06075000048,-7,0,0,0,HR001
06075000048,-6,0,0,0,HR001
06075000048,-5,0,0,0,HR001
06075000048,-4,0,1,0,HR001
06075000048,-3,0,0,0,HR001
06075000048,-2,0,0,0,HR001
06075000048,-1,0,0,0,HR001
06075000048,0,0,0,1,HR001
06075000048,1,0,0,1,HR001
06075000048,2,0,0,1,HR001
06075000048,3,0,0,1,HR001
06075000048,4,0,0,1,HR001
06075000048,5,0,0,1,HR001
06075000048,6,0,0,1,HR001
06075000048,7,0,0,1,HR001
06075000048,8,0,0,1,HR001
06075000048,9,0,0,1,HR001
06075000048,10,0,0,1,HR001
06075000048,11,0,0,1,HR001
06075000048,12,0,2,1,HR001
06075000048,13,0,1,1,HR001
06075000048,14,0,0,1,HR001
06075000048,15,0,0,1,HR001
06075000048,16,0,0,1,HR001
06075000048,17,0,1,1,HR001
06075000048,18,0,1,1,HR001
06075000048,19,0,5,1,HR001
06075000048,20,0,0,1,HR001
06075000048,21,0,7,1,HR001
06075000048,22,0,2,1,HR001
06075000048,23,0,0,1,HR001
06075000048,24,0,0,1,HR001
06075000048,25,0,0,1,HR001
06075000048,26,0,0,1,HR001
06075000037,-12,0,0,0,HR001
06075000037,-11,0,0,0,HR001
06075000037,-10,0,0,0,HR001
06075000037,-9,0,0,0,HR001
06075000037,-8,0,0,0,HR001
06075000037,-7,0,0,0,HR001
06075000037,-6,0,0,0,HR001
06075000037,-5,0,0,0,HR001
06075000037,-4,0,1,0,HR001
06075000037,-3,0,0,0,HR001
06075000037,-2,0,0,0,HR001
06075000037,-1,0,0,0,HR001
06075000037,0,0,0,1,HR001
06075000037,1,0,0,1,HR001
06075000037,2,0,0,1,HR001
06075000037,3,0,0,1,HR001
06075000037,4,0,0,1,HR001
06075000037,5,0,0,1,HR001
