signal_id,signal_date,zone_id,event_type,observed_count,expected_count,excess_count,z_score,risk_score,severity,confidence_score,confidence_label,evidence_class,source_granularity,source_file,decision_scope,recommended_action,data_limitations
OPS-OVERDOSE-DEATH-20240101,2024-01-01,Citywide,overdose_death,71,71.0,0.0,0.0,50.0,watch,0.18,low,real_public_aggregate,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240107,2024-01-07,Citywide,ems_overdose_911_response,80,80.0,0.0,0.0,50.0,watch,0.18,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240114,2024-01-14,Citywide,ems_overdose_911_response,65,80.0,-15.0,-1.6771,24.84,routine,0.203,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240121,2024-01-21,Citywide,ems_overdose_911_response,63,72.5,-9.5,-0.8544,37.18,routine,0.225,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240128,2024-01-28,Citywide,ems_overdose_911_response,80,65.0,15.0,1.6144,74.22,high,0.248,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-OVERDOSE-DEATH-20240201,2024-02-01,Citywide,overdose_death,63,71.0,-8.0,-0.9494,35.76,routine,0.225,low,real_public_aggregate,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240204,2024-02-04,Citywide,ems_overdose_911_response,68,72.5,-4.5,-0.4047,43.93,routine,0.27,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240211,2024-02-11,Citywide,ems_overdose_911_response,70,68.0,2.0,0.2425,53.64,watch,0.293,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240218,2024-02-18,Citywide,ems_overdose_911_response,64,69.0,-5.0,-0.6019,40.97,routine,0.315,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240225,2024-02-25,Citywide,ems_overdose_911_response,74,68.0,6.0,0.7276,60.91,high,0.338,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-OVERDOSE-DEATH-20240301,2024-03-01,Citywide,overdose_death,70,67.0,3.0,0.3665,55.5,watch,0.27,low,real_public_aggregate,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240303,2024-03-03,Citywide,ems_overdose_911_response,80,69.0,11.0,1.3242,69.86,high,0.36,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240310,2024-03-10,Citywide,ems_overdose_911_response,67,70.0,-3.0,-0.3372,44.94,routine,0.383,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240317,2024-03-17,Citywide,ems_overdose_911_response,84,69.0,15.0,1.8058,77.09,critical,0.405,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240324,2024-03-24,Citywide,ems_overdose_911_response,91,70.0,21.0,2.3607,85.41,critical,0.427,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240331,2024-03-31,Citywide,ems_overdose_911_response,94,72.0,22.0,1.8548,77.82,critical,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-OVERDOSE-DEATH-20240401,2024-04-01,Citywide,overdose_death,59,70.0,-11.0,-1.3148,30.28,routine,0.315,low,real_public_aggregate,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240407,2024-04-07,Citywide,ems_overdose_911_response,63,72.0,-9.0,-0.7588,38.62,routine,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240414,2024-04-14,Citywide,ems_overdose_911_response,59,72.0,-13.0,-1.096,33.56,routine,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240421,2024-04-21,Citywide,ems_overdose_911_response,91,72.0,19.0,1.6019,74.03,high,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240428,2024-04-28,Citywide,ems_overdose_911_response,67,72.0,-5.0,-0.3968,44.05,routine,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-OVERDOSE-DEATH-20240501,2024-05-01,Citywide,overdose_death,66,66.5,-0.5,-0.0613,49.08,watch,0.36,low,real_public_aggregate,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240505,2024-05-05,Citywide,ems_overdose_911_response,81,72.0,9.0,0.7142,60.71,high,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240512,2024-05-12,Citywide,ems_overdose_911_response,87,77.0,10.0,0.5865,58.8,watch,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240519,2024-05-19,Citywide,ems_overdose_911_response,70,80.5,-10.5,-0.6745,39.88,routine,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
