date,event_count,temperature_mean_c,precipitation_mm,elapsed_periods,month
2024-01-01,71,12.287096774193548,128.2,0.0,1
2024-02-01,63,12.12241379310345,116.89999999999999,1.0,2
2024-03-01,70,13.188709677419356,87.3,2.0,3
2024-04-01,59,14.276666666666667,19.599999999999998,3.0,4
2024-05-01,66,15.985483870967743,24.1,4.0,5
2024-06-01,49,16.188333333333333,0.0,5.0,6
2024-07-01,41,18.05322580645161,0.0,6.0,7
2024-08-01,47,16.862903225806452,2.5,7.0,8
2024-09-01,41,17.213793103448275,0.0,8.0,9
2024-10-01,37,18.179032258064513,0.3,9.0,10
2024-11-01,40,13.556666666666667,102.7,10.0,11
2024-12-01,51,12.558064516129033,114.7,11.0,12
2025-01-01,62,11.40967741935484,6.1,12.0,1
2025-02-01,71,12.164285714285715,130.1,13.0,2
2025-03-01,66,12.574193548387097,43.5,14.0,3
2025-04-01,59,13.786666666666667,9.5,15.0,4
2025-05-01,58,15.324193548387097,2.8,16.0,5
2025-06-01,44,15.548333333333334,0.0,17.0,6
2025-07-01,52,16.980645161290322,0.0,18.0,7
2025-08-01,49,18.606451612903225,0.0,19.0,8
2025-09-01,39,19.651666666666664,1.8,20.0,9
2025-10-01,35,17.432258064516127,26.200000000000003,21.0,10
2025-11-01,51,14.59,87.19999999999999,22.0,11
2025-12-01,40,11.40967741935484,111.6,23.0,12
